age,gender,region,household_size,mother_education,father_education,weekly_study_time,past_failures,school_support,family_support,paid_tutoring,internet_access,extracurricular_activities,absences,prior_grade_1,prior_grade_2,current_grade,eligible
15,Female,Urban,More than 3,4,3,2,0,No,Yes,Yes,Yes,Yes,0,14,15,15,1
15,Male,Urban,More than 3,4,4,2,0,No,Yes,No,No,Yes,4,14,15,15,1
15,Male,Urban,3 or fewer,1,2,2,0,Yes,Yes,No,Yes,Yes,2,9,10,9,1
16,Female,Urban,More than 3,4,2,2,0,No,Yes,No,Yes,No,2,15,16,16,1
16,Female,Rural,More than 3,4,4,2,0,No,Yes,No,No,Yes,6,10,11,11,0
16,Female,Urban,More than 3,1,1,1,0,Yes,Yes,No,Yes,Yes,6,10,8,11,1
16,Female,Urban,3 or fewer,1,2,2,0,Yes,No,No,Yes,Yes,4,8,10,9,1
16,Female,Urban,More than 3,4,3,3,0,Yes,Yes,Yes,Yes,Yes,2,10,9,9,0
15,Female,Urban,3 or fewer,4,3,2,0,Yes,No,No,Yes,Yes,0,10,10,10,0
16,Female,Urban,3 or fewer,4,3,2,0,No,Yes,No,Yes,Yes,2,16,15,15,1
15,Male,Urban,More than 3,4,4,4,0,No,Yes,No,Yes,Yes,4,13,13,12,1
16,Female,Urban,More than 3,3,1,4,0,Yes,Yes,Yes,Yes,No,4,7,7,6,0
15,Female,Rural,3 or fewer,2,2,2,0,Yes,Yes,Yes,Yes,No,2,8,9,8,0
15,Female,Rural,3 or fewer,3,1,4,0,No,Yes,No,Yes,No,12,16,16,16,1
16,Male,Urban,More than 3,3,1,4,0,No,Yes,Yes,Yes,No,0,13,15,15,1
15,Male,Urban,More than 3,4,2,4,0,No,No,No,Yes,No,0,10,10,10,0
15,Female,Rural,More than 3,1,1,2,2,Yes,Yes,No,Yes,No,2,8,6,5,0
16,Male,Urban,More than 3,3,1,1,0,No,No,No,No,Yes,2,12,12,14,1
16,Female,Urban,More than 3,3,3,2,0,Yes,Yes,Yes,Yes,Yes,54,11,12,11,0
15,Male,Urban,More than 3,4,3,2,0,No,Yes,Yes,Yes,Yes,6,9,9,10,0
15,Male,Urban,More than 3,4,0,4,0,No,No,No,Yes,Yes,8,11,11,10,1
16,Female,Urban,More than 3,2,2,4,0,No,No,Yes,Yes,No,0,11,11,11,1
17,Male,Urban,More than 3,2,1,1,3,Yes,Yes,No,Yes,Yes,2,8,8,10,0
16,Female,Urban,More than 3,3,4,2,0,No,Yes,No,Yes,No,12,5,5,5,0
15,Male,Urban,More than 3,2,3,1,0,Yes,Yes,Yes,Yes,Yes,2,10,12,12,1
15,Male,Urban,More than 3,2,3,3,0,Yes,No,Yes,Yes,No,4,11,10,11,0
15,Female,Urban,3 or fewer,3,2,2,0,No,Yes,Yes,Yes,No,10,7,6,6,0
15,Male,Urban,3 or fewer,2,2,2,0,No,No,Yes,Yes,Yes,4,15,15,15,1
15,Female,Urban,More than 3,1,1,2,0,No,Yes,No,Yes,Yes,2,9,10,10,1
15,Female,Urban,More than 3,4,4,2,2,No,No,Yes,Yes,No,6,7,9,8,0
16,Female,Urban,3 or fewer,2,2,2,0,No,Yes,No,No,No,4,8,7,6,0
15,Female,Urban,More than 3,4,2,3,0,No,Yes,No,Yes,Yes,4,13,14,14,1
16,Male,Urban,More than 3,2,2,2,1,No,No,Yes,Yes,Yes,12,11,10,10,0
16,Male,Urban,3 or fewer,4,4,2,0,No,Yes,No,No,No,18,8,6,7,0
16,Female,Urban,More than 3,3,3,3,0,No,Yes,Yes,Yes,No,0,7,7,8,0
15,Female,Urban,More than 3,4,3,1,0,No,No,Yes,Yes,Yes,4,16,17,18,1
16,Female,Urban,3 or fewer,3,1,2,0,Yes,Yes,No,No,No,4,7,6,6,0
16,Female,Urban,More than 3,4,2,2,0,No,Yes,Yes,Yes,Yes,0,11,10,10,0
15,Male,Urban,3 or fewer,2,2,4,0,No,Yes,No,Yes,Yes,6,11,13,14,1
15,Female,Rural,More than 3,1,1,4,1,Yes,Yes,Yes,Yes,Yes,2,7,10,10,1
16,Male,Rural,More than 3,4,3,1,0,Yes,Yes,No,Yes,Yes,2,11,15,15,1
16,Female,Urban,More than 3,2,1,2,0,No,Yes,Yes,No,No,2,8,9,10,1
16,Female,Urban,More than 3,4,4,1,0,No,No,No,Yes,Yes,6,11,14,14,0
16,Female,Urban,More than 3,4,3,3,0,Yes,Yes,Yes,Yes,No,0,7,9,8,0
16,Male,Urban,More than 3,4,4,1,0,Yes,Yes,Yes,Yes,Yes,14,7,7,5,0
16,Male,Urban,More than 3,4,4,3,0,No,Yes,No,Yes,Yes,0,16,17,17,1
15,Male,Urban,More than 3,4,4,1,0,No,Yes,No,Yes,Yes,4,10,13,14,0
15,Female,Urban,More than 3,3,2,2,0,Yes,Yes,Yes,Yes,No,26,7,6,6,0
15,Male,Urban,More than 3,3,4,2,0,No,Yes,Yes,Yes,Yes,0,16,18,18,1
15,Female,Urban,More than 3,3,3,4,0,Yes,No,No,No,No,10,10,11,11,1
15,Female,Urban,More than 3,2,2,4,0,Yes,Yes,Yes,Yes,No,8,7,8,8,0
16,Male,Urban,More than 3,3,3,3,0,No,Yes,No,Yes,Yes,2,16,18,18,1
15,Male,Rural,More than 3,4,4,4,0,No,Yes,Yes,Yes,Yes,6,10,13,13,0
16,Female,Urban,3 or fewer,4,4,3,0,No,Yes,Yes,Yes,Yes,4,14,15,16,1
15,Male,Urban,3 or fewer,4,4,1,0,No,No,No,Yes,Yes,6,18,19,19,1
16,Female,Rural,More than 3,3,3,3,1,Yes,Yes,No,Yes,Yes,0,7,10,10,0
16,Female,Urban,More than 3,2,2,2,1,Yes,No,No,Yes,Yes,6,10,13,13,1
15,Male,Urban,3 or fewer,4,2,1,0,No,No,No,Yes,No,10,18,19,19,1
15,Male,Rural,More than 3,2,1,2,0,No,No,No,Yes,Yes,8,9,9,9,1
16,Male,Urban,More than 3,4,4,2,0,No,Yes,No,Yes,Yes,2,15,15,16,1
15,Male,Urban,More than 3,4,4,2,0,No,Yes,No,No,Yes,2,11,13,14,1
16,Male,Urban,More than 3,3,3,1,0,No,No,No,Yes,Yes,0,13,14,13,1
17,Male,Rural,More than 3,1,3,2,1,No,Yes,No,Yes,Yes,20,9,7,8,0
15,Male,Urban,More than 3,3,4,1,0,No,No,No,Yes,No,6,14,13,13,0
15,Female,Urban,More than 3,1,2,2,0,No,No,No,Yes,No,2,16,15,15,1
15,Male,Urban,More than 3,2,2,4,0,No,Yes,Yes,Yes,Yes,6,16,14,15,1
16,Female,Urban,3 or fewer,2,4,2,0,No,Yes,Yes,Yes,Yes,2,13,13,13,0
16,Male,Urban,More than 3,4,4,1,0,No,Yes,No,Yes,Yes,18,14,11,13,0
16,Female,Urban,More than 3,2,2,2,0,No,No,Yes,Yes,No,0,8,7,8,0
15,Male,Urban,More than 3,3,4,1,0,Yes,No,No,Yes,No,0,13,13,12,0
15,Female,Urban,3 or fewer,3,4,2,0,Yes,No,No,Yes,Yes,0,7,10,11,0
19,Female,Urban,More than 3,0,1,2,3,No,Yes,No,No,No,2,7,8,9,0
18,Male,Rural,More than 3,2,2,1,2,No,Yes,No,Yes,Yes,0,7,4,0,0
16,Male,Rural,More than 3,4,4,1,0,No,No,Yes,Yes,Yes,8,18,18,18,1
15,Female,Rural,More than 3,3,4,3,2,No,Yes,No,Yes,No,0,12,0,0,0
15,Female,Urban,More than 3,1,1,1,0,No,Yes,No,Yes,Yes,0,8,0,0,0
17,Female,Urban,3 or fewer,2,2,1,0,No,Yes,No,Yes,No,12,10,13,12,0
16,Female,Urban,More than 3,3,4,1,0,No,No,No,Yes,No,16,12,11,11,0
15,Male,Rural,More than 3,3,4,2,0,No,Yes,No,No,No,0,9,0,0,0
15,Female,Urban,More than 3,4,4,3,0,No,Yes,No,Yes,Yes,0,11,0,0,0
17,Male,Rural,More than 3,3,4,2,0,No,No,No,No,No,0,10,0,0,0
16,Female,Urban,More than 3,3,3,1,2,No,Yes,No,Yes,Yes,0,4,0,0,0
16,Male,Urban,3 or fewer,1,1,2,1,No,No,No,No,No,0,14,12,12,1
15,Female,Urban,More than 3,4,4,1,0,No,No,No,Yes,Yes,0,16,16,15,1
15,Male,Urban,More than 3,4,3,4,0,Yes,Yes,No,Yes,No,0,7,9,0,0
16,Male,Urban,3 or fewer,2,2,1,2,No,Yes,No,Yes,Yes,8,9,9,9,0
15,Female,Urban,More than 3,4,4,3,0,No,Yes,Yes,Yes,Yes,2,9,11,11,0
16,Female,Urban,3 or fewer,1,1,1,0,No,No,No,Yes,No,2,14,14,13,1
17,Male,Urban,More than 3,2,1,1,3,No,Yes,No,Yes,No,0,5,0,0,0
15,Female,Urban,More than 3,1,1,2,0,No,Yes,Yes,Yes,No,0,8,11,11,1
15,Female,Urban,More than 3,3,2,2,3,No,Yes,No,Yes,No,0,6,7,0,0
15,Female,Urban,More than 3,1,2,2,0,No,Yes,Yes,Yes,No,2,10,11,11,0
16,Male,Urban,More than 3,4,4,1,0,No,Yes,No,Yes,No,0,7,6,0,0
15,Male,Urban,3 or fewer,2,1,1,3,No,No,No,Yes,No,0,8,9,10,0
18,Male,Urban,3 or fewer,1,1,1,3,No,No,No,Yes,No,0,6,5,0,0
16,Male,Urban,3 or fewer,2,1,1,1,No,No,No,No,Yes,6,12,13,14,1
15,Female,Rural,More than 3,3,3,3,2,No,Yes,Yes,Yes,Yes,8,10,10,10,0
19,Male,Urban,More than 3,3,2,1,3,No,Yes,No,Yes,No,0,5,0,0,0
17,Female,Urban,More than 3,4,4,1,0,Yes,Yes,No,No,No,0,11,11,12,0
15,Male,Rural,More than 3,2,3,2,0,Yes,No,Yes,No,Yes,2,11,8,8,1
17,Male,Rural,3 or fewer,1,2,1,0,No,No,No,No,No,8,16,12,13,1
18,Female,Rural,More than 3,1,1,1,3,No,Yes,No,No,Yes,6,9,8,10,0
16,Male,Rural,More than 3,2,2,1,0,No,No,No,No,No,2,17,15,15,1
16,Male,Urban,More than 3,3,3,2,1,No,Yes,Yes,Yes,No,4,10,12,12,0
17,Male,Rural,3 or fewer,2,1,1,2,No,No,No,Yes,Yes,0,7,6,0,0
15,Male,Rural,More than 3,3,2,2,2,Yes,Yes,No,Yes,No,6,5,9,7,0
16,Male,Urban,3 or fewer,1,2,1,1,No,No,No,No,Yes,0,7,0,0,0
17,Male,Urban,More than 3,1,3,1,0,No,No,No,Yes,No,2,10,10,10,1
17,Male,Rural,3 or fewer,1,1,2,3,No,No,No,No,Yes,0,5,8,7,0
16,Male,Urban,More than 3,3,2,1,1,No,Yes,No,No,Yes,16,12,11,12,1
16,Male,Urban,More than 3,2,2,2,0,No,No,No,Yes,No,4,10,10,10,1
16,Female,Urban,More than 3,4,2,2,0,No,No,Yes,Yes,No,0,14,15,16,1
16,Female,Urban,More than 3,2,2,2,0,No,Yes,Yes,Yes,No,0,6,7,0,0
16,Female,Urban,More than 3,4,4,2,0,No,Yes,Yes,Yes,No,0,14,14,14,0
16,Male,Urban,More than 3,3,4,1,2,No,Yes,No,Yes,Yes,0,6,5,0,0
16,Male,Urban,More than 3,1,0,2,0,No,Yes,Yes,Yes,Yes,2,13,15,16,1
17,Male,Urban,3 or fewer,4,4,2,0,No,Yes,Yes,Yes,Yes,0,13,11,10,0
16,Female,Urban,More than 3,1,3,2,3,No,No,No,Yes,Yes,0,8,7,0,0
16,Female,Urban,3 or fewer,3,3,2,0,No,Yes,Yes,Yes,Yes,4,10,11,9,0
17,Male,Urban,3 or fewer,4,3,2,0,No,No,Yes,Yes,Yes,4,10,9,9,0
16,Female,Urban,More than 3,2,2,2,0,No,No,Yes,Yes,Yes,2,13,13,11,1
17,Male,Urban,More than 3,3,3,2,0,No,No,No,Yes,Yes,4,6,5,6,0
16,Male,Rural,More than 3,4,2,1,0,No,Yes,No,Yes,Yes,10,10,8,9,0
17,Male,Urban,More than 3,4,3,2,0,No,Yes,No,Yes,Yes,4,10,10,11,0
16,Male,Urban,More than 3,4,3,2,0,No,Yes,Yes,Yes,Yes,10,9,8,8,0
16,Male,Urban,More than 3,3,3,2,0,No,No,Yes,Yes,Yes,2,12,13,12,1
17,Female,Urban,More than 3,2,4,2,0,No,Yes,No,No,Yes,0,16,17,17,1
17,Female,Urban,3 or fewer,3,3,2,0,No,Yes,No,Yes,Yes,56,9,9,8,0
16,Female,Urban,More than 3,3,2,2,0,No,Yes,Yes,Yes,No,14,12,13,12,0
17,Male,Urban,More than 3,3,3,2,0,No,Yes,No,Yes,Yes,12,12,12,11,0
16,Male,Urban,More than 3,1,2,1,0,No,Yes,Yes,Yes,Yes,2,11,12,11,1
16,Male,Urban,3 or fewer,2,1,2,0,No,No,Yes,Yes,Yes,0,15,15,15,1
17,Female,Urban,More than 3,3,3,2,0,No,Yes,No,Yes,No,6,8,7,9,0
17,Male,Rural,More than 3,1,2,2,0,No,No,No,No,No,4,8,9,10,1
16,Female,Urban,More than 3,2,3,2,0,No,No,No,Yes,No,10,11,12,13,1
17,Female,Urban,More than 3,1,1,2,0,No,No,No,Yes,Yes,0,8,8,9,1
17,Male,Urban,More than 3,1,2,2,0,No,No,Yes,Yes,Yes,12,7,8,8,0
16,Male,Rural,More than 3,3,3,1,0,No,Yes,No,Yes,Yes,8,8,9,10,0
16,Male,Urban,More than 3,2,3,1,0,No,No,No,Yes,No,0,13,14,14,1
17,Female,Urban,3 or fewer,2,4,2,0,No,No,No,Yes,Yes,0,14,15,15,1
17,Male,Urban,More than 3,4,4,1,0,No,No,No,Yes,No,4,17,15,16,1
16,Male,Rural,3 or fewer,3,3,1,0,No,Yes,Yes,Yes,Yes,8,9,9,10,0
17,Female,Urban,More than 3,4,4,1,1,No,Yes,No,Yes,No,24,18,18,18,1
16,Female,Urban,3 or fewer,4,4,2,0,No,Yes,Yes,Yes,No,0,9,9,10,0
16,Female,Urban,More than 3,4,3,2,0,No,Yes,No,Yes,Yes,2,16,16,16,1
16,Female,Urban,More than 3,2,3,2,0,Yes,Yes,Yes,No,Yes,6,8,10,10,0
17,Female,Urban,More than 3,1,1,2,0,No,Yes,Yes,No,No,4,9,9,10,1
17,Female,Rural,More than 3,2,2,1,0,No,Yes,No,Yes,No,18,7,6,6,0
16,Female,Rural,More than 3,2,2,4,0,No,Yes,Yes,Yes,Yes,6,10,10,11,0
17,Female,Urban,More than 3,3,4,3,1,No,Yes,Yes,Yes,No,28,10,9,9,0
16,Female,Urban,More than 3,3,1,2,3,No,Yes,Yes,Yes,No,5,7,7,7,0
16,Female,Urban,More than 3,4,3,2,0,No,No,Yes,Yes,Yes,10,11,12,13,0
16,Female,Urban,More than 3,1,1,1,0,No,Yes,Yes,No,No,6,9,9,10,0
17,Female,Rural,More than 3,4,3,3,0,No,Yes,Yes,Yes,Yes,6,7,7,7,0
19,Female,Urban,More than 3,3,3,4,0,No,Yes,Yes,Yes,Yes,10,8,8,8,0
17,Male,Urban,3 or fewer,4,4,2,0,No,Yes,Yes,Yes,No,13,12,12,13,0
16,Female,Urban,More than 3,2,2,2,0,Yes,Yes,Yes,Yes,No,0,12,13,14,1
18,Male,Urban,More than 3,2,2,2,1,No,Yes,Yes,Yes,Yes,15,6,7,8,0
17,Female,Rural,3 or fewer,4,4,1,0,No,Yes,Yes,No,No,12,8,10,10,0
17,Female,Urban,3 or fewer,3,2,2,0,No,No,Yes,Yes,No,2,14,15,15,1
17,Female,Urban,More than 3,4,3,2,2,No,No,Yes,Yes,No,22,6,6,4,0
18,Male,Urban,3 or fewer,3,3,2,1,No,Yes,Yes,Yes,No,13,6,6,8,0
17,Female,Urban,More than 3,2,3,1,0,No,Yes,Yes,No,No,3,7,7,8,0
17,Female,Urban,More than 3,2,2,3,0,No,Yes,Yes,Yes,Yes,4,9,10,10,1
17,Female,Rural,More than 3,2,1,2,0,No,Yes,No,Yes,Yes,2,6,6,6,0
17,Female,Urban,More than 3,1,1,3,1,No,Yes,No,No,Yes,0,6,5,0,0
16,Female,Urban,More than 3,2,3,2,0,Yes,No,No,Yes,No,2,16,16,17,1
18,Male,Urban,More than 3,2,2,2,0,No,Yes,Yes,Yes,No,0,12,13,13,1
16,Female,Urban,More than 3,4,4,3,0,No,Yes,No,Yes,Yes,0,13,13,14,1
18,Female,Rural,More than 3,3,1,2,1,No,No,No,Yes,Yes,16,9,8,7,0
17,Female,Urban,More than 3,3,2,2,0,No,No,No,Yes,Yes,10,16,15,15,1
17,Male,Urban,3 or fewer,2,3,2,0,No,Yes,Yes,Yes,No,2,12,11,12,0
18,Male,Urban,3 or fewer,2,1,2,0,Yes,Yes,Yes,Yes,Yes,14,10,8,9,0
17,Female,Urban,More than 3,2,1,3,0,No,No,No,Yes,Yes,10,12,10,12,1
17,Female,Urban,3 or fewer,4,3,2,0,No,No,No,Yes,Yes,14,13,13,14,1
17,Male,Rural,More than 3,2,2,2,0,No,Yes,Yes,Yes,Yes,4,11,11,11,1
17,Male,Urban,More than 3,4,4,2,0,Yes,Yes,No,Yes,Yes,14,11,9,9,0
16,Male,Urban,More than 3,4,4,2,0,No,Yes,Yes,Yes,Yes,2,14,13,13,0
16,Male,Urban,3 or fewer,1,1,2,0,No,Yes,Yes,Yes,No,18,9,7,6,0
16,Male,Urban,More than 3,3,2,3,0,No,No,No,Yes,Yes,10,11,9,10,0
17,Male,Urban,3 or fewer,2,2,2,0,No,No,Yes,Yes,Yes,4,14,13,13,1
16,Female,Urban,More than 3,2,1,1,0,No,No,No,Yes,No,20,13,12,12,1
17,Female,Rural,More than 3,2,1,2,0,No,No,No,No,Yes,2,13,11,11,1
18,Male,Urban,More than 3,2,2,2,1,No,No,No,Yes,No,0,7,7,0,0
17,Male,Urban,3 or fewer,4,3,2,0,No,No,No,Yes,Yes,14,12,12,12,0
17,Male,Rural,3 or fewer,4,4,2,0,No,Yes,Yes,Yes,No,2,10,11,12,0
16,Male,Urban,3 or fewer,4,3,1,0,No,No,No,Yes,Yes,0,6,0,0,0
16,Male,Urban,More than 3,4,4,1,0,No,No,No,Yes,Yes,0,13,12,12,1
18,Female,Urban,More than 3,2,1,3,0,No,Yes,Yes,Yes,No,0,7,0,0,0
16,Male,Urban,More than 3,2,1,1,0,No,No,No,Yes,No,6,18,18,18,1
17,Male,Urban,More than 3,2,3,1,0,No,No,No,Yes,No,4,12,12,13,1
22,Male,Urban,More than 3,3,1,1,3,No,No,No,Yes,No,16,6,8,8,0
18,Male,Rural,3 or fewer,3,3,2,1,No,Yes,No,Yes,No,8,3,5,5,0
16,Male,Urban,More than 3,0,2,1,0,No,No,Yes,Yes,No,0,13,15,15,1
18,Male,Urban,More than 3,3,2,1,1,No,No,No,Yes,No,0,6,8,8,0
16,Male,Urban,More than 3,3,3,2,0,Yes,Yes,No,Yes,No,6,7,10,10,0
18,Male,Urban,More than 3,2,1,1,1,No,No,No,Yes,No,4,6,9,8,0
16,Male,Rural,More than 3,2,1,1,0,No,No,No,No,Yes,0,8,9,8,1
17,Male,Rural,More than 3,2,1,1,0,No,No,No,Yes,No,0,8,12,12,1
17,Male,Urban,3 or fewer,1,1,1,1,No,Yes,No,Yes,Yes,2,7,9,8,0
17,Female,Urban,3 or fewer,4,2,4,0,No,Yes,Yes,Yes,Yes,6,14,12,13,0
19,Male,Urban,3 or fewer,4,3,2,0,No,Yes,No,Yes,No,12,11,11,11,0
18,Male,Urban,More than 3,2,1,2,0,No,No,No,Yes,Yes,8,15,14,14,1
17,Female,Urban,3 or fewer,2,2,4,0,No,No,Yes,Yes,Yes,0,10,9,0,0
18,Female,Urban,More than 3,4,3,2,0,No,Yes,Yes,Yes,No,21,17,18,18,1
18,Male,Urban,More than 3,4,3,2,0,No,Yes,Yes,Yes,No,2,8,8,8,0
18,Male,Rural,More than 3,3,2,3,0,No,No,No,No,Yes,1,13,12,12,1
17,Female,Urban,More than 3,3,3,3,0,No,No,No,No,Yes,4,10,9,9,1
18,Female,Urban,More than 3,2,2,3,0,No,Yes,Yes,Yes,Yes,0,9,10,0,0
18,Male,Rural,3 or fewer,3,4,2,0,No,Yes,Yes,Yes,Yes,13,17,17,17,1
17,Male,Urban,More than 3,3,1,2,0,No,No,Yes,Yes,Yes,2,9,9,10,1
18,Female,Rural,More than 3,4,4,2,0,No,No,Yes,Yes,Yes,8,12,10,11,0
18,Male,Urban,More than 3,4,2,2,0,No,Yes,Yes,Yes,Yes,10,10,9,10,0
18,Female,Rural,More than 3,2,1,2,0,No,Yes,No,Yes,No,0,6,0,0,0
19,Female,Urban,More than 3,3,3,2,2,No,Yes,Yes,Yes,Yes,15,9,9,9,0
18,Female,Urban,More than 3,2,3,4,0,No,Yes,Yes,Yes,Yes,4,15,14,14,1
18,Female,Urban,3 or fewer,1,1,2,0,No,Yes,Yes,No,No,2,11,11,11,1
17,Male,Rural,More than 3,1,2,2,0,No,Yes,Yes,No,Yes,2,15,14,14,1
17,Female,Urban,More than 3,2,4,2,0,No,Yes,Yes,Yes,No,2,10,10,10,0
17,Female,Urban,3 or fewer,2,2,2,0,Yes,Yes,Yes,Yes,No,6,12,12,12,0
18,Female,Rural,More than 3,3,2,2,0,No,No,No,Yes,No,75,10,9,9,0
18,Male,Urban,More than 3,4,4,1,0,No,No,Yes,Yes,Yes,22,9,9,9,0
18,Female,Urban,More than 3,4,4,2,1,Yes,Yes,No,Yes,Yes,15,9,8,8,0
18,Male,Urban,3 or fewer,4,3,1,0,No,No,Yes,Yes,Yes,8,10,11,10,0
17,Male,Urban,3 or fewer,4,1,1,0,No,No,Yes,Yes,Yes,30,8,8,8,0
17,Male,Urban,3 or fewer,3,2,1,1,No,No,No,Yes,No,19,11,9,10,0
18,Female,Rural,3 or fewer,1,1,4,0,No,Yes,Yes,No,Yes,1,12,12,12,1
18,Female,Urban,More than 3,1,1,2,0,Yes,No,No,Yes,Yes,4,8,9,10,1
17,Female,Urban,More than 3,2,2,2,0,No,Yes,No,Yes,No,4,10,9,11,0
17,Male,Urban,More than 3,1,1,2,0,No,No,Yes,Yes,No,2,12,10,11,1
18,Female,Urban,More than 3,2,2,3,0,No,Yes,Yes,Yes,No,5,18,18,19,1
17,Female,Urban,More than 3,1,1,3,0,No,Yes,Yes,Yes,No,6,13,12,12,1
